Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	4		0.022298	0.012247	0.312148	0.534072	8.328987	5.863509		0.000010
gaussian	4		0.020883	0.011866	0.269439	0.560032	8.518499	5.863509		0.000029
gaussian	4		0.018986	0.010444	0.294414	0.547422	7.616888	5.863509		0.000008
gaussian	4		0.021860	0.012949	0.287073	0.527799	7.027933	5.863509		0.000009
gaussian	4		0.019992	0.011173	0.287208	0.544843	7.429546	5.863509		0.000027
gaussian	4		0.020367	0.011144	0.273673	0.532462	7.356020	5.863509		0.000006
gaussian	4		0.020617	0.012440	0.288938	0.549701	7.961623	5.863509		0.000016
gaussian	4		0.019382	0.010743	0.273047	0.516675	7.430721	5.863509		0.000004
gaussian	4		0.021237	0.011377	0.289300	0.528242	6.113825	5.863509		0.000002
gaussian	4		0.021305	0.011665	0.287582	0.523357	7.613572	5.863509		0.000004
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	16		0.077879	0.047061	0.783860	0.286524	2.965083	2.931754		0.000000
gaussian	16		0.077578	0.046202	0.772488	0.276733	2.752414	2.931754		0.000000
gaussian	16		0.083765	0.047458	0.813224	0.273684	2.634542	2.931754		0.000000
gaussian	16		0.075828	0.048104	0.761866	0.278064	2.598187	2.931754		0.000000
gaussian	16		0.074082	0.044422	0.758250	0.272095	2.531865	2.931754		0.000000
gaussian	16		0.074716	0.048286	0.762387	0.271528	2.719712	2.931754		0.000000
gaussian	16		0.077875	0.053163	0.774382	0.273091	2.592252	2.931754		0.000000
gaussian	16		0.072253	0.045764	0.712950	0.275579	2.642791	2.931754		0.000000
gaussian	16		0.067707	0.039122	0.743107	0.272190	2.553612	2.931754		0.000000
gaussian	16		0.076290	0.046965	0.745795	0.277135	3.100762	2.931754		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	64		0.294740	0.233612	2.888318	0.140346	1.088582	1.465877		0.000000
gaussian	64		0.309388	0.266892	2.850909	0.137072	1.124637	1.465877		0.000000
gaussian	64		0.308521	0.269690	2.704388	0.138575	1.279491	1.465877		0.000000
gaussian	64		0.310242	0.261829	2.892939	0.139960	1.115653	1.465877		0.000000
gaussian	64		0.310605	0.279113	2.880784	0.137080	1.144842	1.465877		0.000000
gaussian	64		0.286024	0.210179	2.713269	0.137698	1.269514	1.465877		0.000000
gaussian	64		0.296839	0.229289	2.836748	0.139154	1.182021	1.465877		0.000000
gaussian	64		0.276631	0.209897	2.920376	0.141127	1.238788	1.465877		0.000000
gaussian	64		0.312303	0.258620	2.829924	0.139160	1.136652	1.465877		0.000000
gaussian	64		0.331115	0.323424	2.931185	0.139060	1.141938	1.465877		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	256		1.212438	1.648928	10.732376	0.070216	0.457110	0.732939		0.000000
gaussian	256		1.118232	1.422760	10.975400	0.069815	0.511995	0.732939		0.000000
gaussian	256		1.262785	1.752347	11.174711	0.070290	0.506155	0.732939		0.000000
gaussian	256		1.214126	1.618799	10.742549	0.070082	0.494532	0.732939		0.000000
gaussian	256		1.249650	1.745673	11.178206	0.070395	0.481142	0.732939		0.000000
gaussian	256		1.253603	1.730235	10.922776	0.069376	0.560524	0.732939		0.000000
gaussian	256		1.319040	1.606111	11.576901	0.070102	0.492103	0.732939		0.000000
gaussian	256		1.223927	1.715417	11.386958	0.070357	0.500064	0.732939		0.000000
gaussian	256		1.185142	1.578195	11.041941	0.071628	0.482196	0.732939		0.000000
gaussian	256		1.284313	1.951564	11.608906	0.069274	0.521646	0.732939		0.000000
Method		Dimension	Matrix (sec)	Proj (sec)	Distance (sec)	Avg Distortion	Max Distortion	Theoretical Distortion	Above Distortion
gaussian	1024		4.951287	8.464719	45.068352	0.035379	0.234188	0.366469		0.000000
gaussian	1024		5.007259	8.296904	44.021969	0.035460	0.223222	0.366469		0.000000
gaussian	1024		4.930004	8.502915	44.464230	0.035263	0.232093	0.366469		0.000000
gaussian	1024		4.941332	8.305749	43.652287	0.034839	0.219525	0.366469		0.000000
gaussian	1024		4.790084	8.232737	44.084743	0.034938	0.247086	0.366469		0.000000
gaussian	1024		5.070187	8.145333	45.021248	0.035196	0.253676	0.366469		0.000000
gaussian	1024		5.094215	8.900717	44.936928	0.034983	0.249894	0.366469		0.000000
gaussian	1024		5.052068	8.615439	46.179207	0.034573	0.224858	0.366469		0.000000
gaussian	1024		4.984378	8.213465	43.631180	0.034852	0.229126	0.366469		0.000000
gaussian	1024		4.838226	8.075424	44.348595	0.035443	0.259126	0.366469		0.000000
